plugin,dependency_id,type,declared_hardness,declared_min_version,check_command,check_mcp,check_tool,auto_install_declared,used_by,declared_fallback,source_path
design,claude,cli,soft,,claude --version,,,False,dev-server/acp/probe.ts; dev-server/acp/bridge.ts,Phase 31 (DDR-123) — the native ACP chat sidepanel drives the user's OWN installed `claude` CLI on their Pro/Max subscription (never API billing). Without it the panel shows the not-connected explainer ('run `claude` in a terminal and `/login`'); every other design surface is unaffected.,plugins/design/dependencies.json
design,whisper-cpp,cli,soft,,whisper-cli --help,,,False,dev-server/bin/transcribe.sh; dev-server/bin/_transcribe.mjs,"feature-ai-media-generation Phase 2 (DDR-164) — `maude design transcribe` uses whisper.cpp for local, no-key, word-timestamped subtitles (the DEFAULT subtitle path). Without it, transcription falls back to cloud STT (ElevenLabs Scribe / Groq Whisper) via a provider key. whisper.cpp also needs a ggml model file (--model / $MAUDE_WHISPER_MODEL); it ships no default and does not auto-download — see https://huggingface.co/ggerganov/whisper.cpp (e.g. ggml-large-v3-turbo.bin).",plugins/design/dependencies.json
design,ffmpeg,cli,soft,,ffmpeg -version,,,False,dev-server/bin/smart-frames.sh; dev-server/bin/_smart-frames.mjs,"feature-scene-aware-keyframes — the `ffmpeg` tier of `maude design smart-frames` (skill footage-keyframes) uses ffmpeg scene-detection to pick keyframes at real shot cuts. Without it, the extractor falls back to the blind Chromium tier (probe-footage, even-spaced) — still works, just not scene-aware.",plugins/design/dependencies.json
design,mlx-vlm,cli,soft,,"MAUDE_VENV=""${XDG_CACHE_HOME:+$XDG_CACHE_HOME/maude}""; MAUDE_VENV=""${MAUDE_VENV:-$HOME/.maude}/mlx-venv""; ""$MAUDE_VENV/bin/python3"" -c ""import mlx_vlm"" 2>/dev/null || python3 -c ""import mlx_vlm""",,,False,dev-server/bin/_smart-frames.mjs,"feature-scene-aware-keyframes — OPT-IN. The `gemma` tier of `maude design smart-frames` runs a local Gemma-4 MLX scout (Apple Silicon only) to flag semantic action beats. Without it, smart-frames uses Ollama (if a gemma3 vision model is pulled), else the ffmpeg or blind tier — no model download required. The scout also needs a Gemma-4 MLX model (--engine gemma / $MAUDE_GEMMA_MODEL, one-click in Studio Settings → Video).",plugins/design/dependencies.json
design,ollama,cli,soft,,which ollama,,,False,dev-server/bin/_smart-frames.mjs,"feature-scene-aware-keyframes — OPT-IN alternative scout runtime. The `gemma` tier of `maude design smart-frames` can run its semantic-beat scout through a local Ollama server with a vision-capable gemma3 model (`ollama pull gemma3:4b`) instead of mlx-vlm — the simpler install story (one app, no Python; works beyond Apple Silicon). mlx-vlm is preferred when both are present. Without either, smart-frames uses the ffmpeg or blind tier.",plugins/design/dependencies.json
flow,node,cli,hard,20.0.0,node --version,,,False,commands/init.md,,plugins/flow/dependencies.json
flow,git,cli,hard,,git --version,,,False,commands/init.md; commands/done.md; commands/quick.md,,plugins/flow/dependencies.json
flow,maude,cli,soft,,maude --version,,,False,commands/init.md,/flow:init and /flow:done work without maude CLI but cannot read/write workflows.config.json via `maude config`.,plugins/flow/dependencies.json
flow,agent-browser,cli,soft,,agent-browser --version,,,True,commands/scenario.md; commands/validate.md; commands/utils-verify.md; agents/scenario-runner.md; agents/a11y-auditor.md; skills/agent-browser/SKILL.md,/flow:scenario and a11y-auditor degrade to screenshot-less reports. Web scenarios cannot run.,plugins/flow/dependencies.json
flow,agent-device,cli,soft,,agent-device --version,,,False,commands/scenario.md; agents/scenario-runner.md; skills/agent-device/SKILL.md,/flow:scenario skips native (iOS/Android) variants. Web variants still run via agent-browser.,plugins/flow/dependencies.json
flow,kg,cli,soft,,kg version,,,False,skills/kgai-backend/SKILL.md; commands/migrate-kgai.md,"flow/design fall back to the classic .ai/decisions/ + STATE.md file path (no regression). The kgai knowledge-graph backend (kg context/ingest/sync, cross-repo company memory) is inactive.",plugins/flow/dependencies.json
flow,jq,system-tool,soft,,jq --version,,,False,commands/validate.md; commands/utils-verify.md; commands/quick.md; commands/done.md,Slash commands' bash blocks that read .ai/workflows.config.json via jq cannot run. /flow:validate and /flow:utils-verify quality gates need this.,plugins/flow/dependencies.json
flow,askuserquestion-mcp,mcp,soft,,,AskUserQuestion,ask,False,skills/question-protocol/SKILL.md,Question prompts fall back to numbered-prose chat. No multi-select UI.,plugins/flow/dependencies.json
flow,terminal-skills-mcp,mcp,soft,,,terminal-skills,search_skills,False,skills/skill-loader/SKILL.md,skill-loader falls back to built-in plugin skills → matching agents → WebFetch on library docs.,plugins/flow/dependencies.json
